raga	f1	f1 (simclr + lora)	difference
abhogi	0.4903093831582617	0.6940740335714434	0.2037646504131816
begada	0.3458931611314664	0.5507483920647925	0.204855230933326
kalyani	0.3906729212099423	0.6543619081223795	0.2636889869124371
mohanam	0.2109845012479186	0.6320530960139281	0.4210685947660094
sahana	0.2394680730351734	0.624027018796889	0.3845589457617157
saveri	0.659584774091997	0.7593377906845424	0.0997530165925454
sri	0.3589724994467493	0.6442515683403611	0.2852790688936118
